settlements_id,settlements_solver_id,settlements_trades_timestamp,settlements_trades_gasPrice,settlements_trades_feeAmount,settlements_trades_buyAmount,settlements_trades_sellAmount,settlements_trades_sellToken_id,settlements_trades_buyToken_id,settlements_trades_order_id,settlements_trades_buyAmountEth,settlements_trades_sellAmountEth,settlements_trades_buyAmountUsd,settlements_trades_sellAmountUsd,tokens_decimals,tokens_symbol,tokens_name,tokens_decimals_right,tokens_symbol_right,tokens_name_right,environment,name,active
0x005a66fad104c6a9f0a065c3a46831e953fcd84559cfd1cf9eab801c64866500,0x2d15894fac906386ff7f4bd07fceac43fcf80c73,1643974282,67016893523,3.5489565811275096e16,2.29818068829681e17,1.4063857142857142e18,0x990f341946a3fdb507ae7e52d17851b87168017c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x953ba98be131ddea1ded326856e5182947cedbfbf0b9ffbbc3ac8fde4cddb91ca9a80e8db9875f34c491610e20d260de9ac8b85061fd154e,0.22981806882968098,0.23685165890249865,651.0861907340237,671.0127064819625,18,STRONG,Strong,18,WETH,Wrapped Ether,prod,DexCowAgg,false
0x006a45b1074a5f9fa2e4617b938989ae8d6a964abbe9b1b8c7b55c3a49ef4807,0xe33062a24149f7801a48b2675ed5111d3278f0f5,1647898054,33161851031,6.344011510510963e16,9.513733377100246e17,1.9617564191255028e19,0x990f341946a3fdb507ae7e52d17851b87168017c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x219c9574a3cfd0f630e8db8f3299886d29f4017846fa68cbcca86a17cfb55efa0b20f08e6063202870fffb46f360d2f19144c10b6238ee42,0.9513733377100245,0.9546205208416727,2769.1794613276447,2778.6310955903555,18,STRONG,Strong,18,WETH,Wrapped Ether,barn,Gnosis_1inch,true
0x009eced8a40c3e74d0f9dede0f5ac5f52f076d2d93dc07b1a3b3a17859225360,0xe58c68679e7aab8ef83bf37e88b18eb1f6e30e22,1653978991,18262501586,9.678073186614975e19,1.274327244448403e18,4.0e22,0x9c4a4204b79dd291d6b6571c5be8bbcd0622f050,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x527d3f18c4b9a967a775df3f5ba0a7bdc92aa13a7587eff86f312f1c51d172c2080fea9643f11c0d471394df53bc9f8bc8663dfb6295bbc9,1.274327244448403,1.2860340169981568,2508.056017384325,2561.8803013094594,18,TCR,Tracer,18,WETH,Wrapped Ether,prod,PLM,false
0x000e077c2bf5acdb0ad311cf7b538090b16ef701d11b324ff33d22b2b7a5c2d8,0xe18b5632df2ec339228dd65e4d9f004ef59653d3,1660491139,14393607572,3.970966116669054e16,5.259858260199086e19,1.0e20,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x27e59de9b7c3e60989e726da3506169dc6c66bc89823a2f434ee11735639372100e286b5256aa6cf252d5a8a5a7b8c20ec3bc4d562f93e70,52.598582601990856,53.093559320075,104238.55207606025,104985.3764257635,18,"","",18,WETH,Wrapped Ether,prod,Atlas,false
0x007bd4a5d9159055000b6572829993528df04bc9108916dbf4753a79f2f0a334,0xc9ec550bea1c64d779124b23a26292cc223327b6,1657137163,46976439280,1.2875610738451746e17,3.8109820796829146e17,1.0e19,0xa0246c9032bc3a600820415ae600c6388619a14d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf716a5127205bba411fec82deaebb1fb9fecc6ece422fb02a8cc4429000577bf92326340acf0a75cf520a2dd1df8516cad98e7c262c5fcf1,0.38109820796829147,0.0,438.7567218479195,0.0,18,FARM,FARM Reward Token,18,WETH,Wrapped Ether,prod,Otex,true
0x000e0d4838aaf3dcc47958c0406717ef2f540fe3619754a55fa16c110afd458d,0x149d0f9282333681ee41d30589824b2798e9fb47,1664596247,6387537512,0.0,3.7863411132651226e17,502952579.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5175a298fb4e785a213f6ef8a33a8207a958aab5fbb54d0e050740d78a35be6309bedd66e7d3ac89e0aba5f00c52cae299c00a1d6337bc95,0.37863411132651226,0.37860069939933816,502.9969651170046,502.952579,6,USDC,USD Coin,18,WETH,Wrapped Ether,prod,PLM,true
0x0016ff2d2cebcff9101988559ed73880f8cb1348203d3b7a86a054cdec8bf54b,0xe8ff24ec26bd46e0140d1824da44efad2a0920b5,1660187275,64022146930,23267987.0,1.0e18,1900763729.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x081ad8ae645c696c7a1821b24160da211f2d90a65dec8d0f3d1663e42a2c66767224ab55b0f9a491544d1306fee3cf53774bb71f62f47694,1.0,1.0124828159093684,1877.329372047481,1900.763729,6,USDC,USD Coin,18,WETH,Wrapped Ether,prod,MIP,true
0x001e6a1d7b90490ed4f7914952f59c35b56159329383ab370f116298e23b9068,0x77ec2a722c2393d3fd64617bbaf1499c713e616b,1637143553,99893356024,73653411.0,2.978561481179237e19,1.23543419368e11,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1c51ea434ebed3a21b029567623819135eba352e0ba60175deae64748335d22c5060ba464b9300a938bda3acfc4ed11309db259d6194d59a,29.78561481179237,29.816904219492045,123413.77477482692,123543.419368,6,USDC,USD Coin,18,WETH,Wrapped Ether,prod,QuasiModo,false
0x001e6a1d7b90490ed4f7914952f59c35b56159329383ab370f116298e23b9068,0x77ec2a722c2393d3fd64617bbaf1499c713e616b,1637143553,99893356024,59027691.0,2.482013917495379e19,1.02945498033e11,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x24393e9edb41c5929646196a09f98cc70d80dbe6feddd6f8269c9fdd64323bca382c9d149bd489ed41cf92eeaa1427cb65bb197b6194d5ce,24.82013917495379,24.845645930639737,102839.81329151145,102945.498033,6,USDC,USD Coin,18,WETH,Wrapped Ether,prod,QuasiModo,false
0x0034555fdd9428572f6b77e07a180622ed44eac6a271d6c08974e720880c9ba9,0xa6ddbd0de6b310819b49f680f65871bee85f517e,1629885373,71335022489,28675859.0,1.289196593978255e20,4.0e11,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x674fb2072b4a53777b8e29f1d719d8fd8e0433c90d5e90898590bf4a25e9d58f2de640a18fe3480aa802aca91f70177ada10339161261848,128.91965939782548,128.88020446285174,400122.45460080757,400000.0,6,USDC,USD Coin,18,WETH,Wrapped Ether,prod,Legacy,false
