swaps_id,swaps_hash,swaps_nonce,swaps_logIndex,swaps_gasLimit,swaps_gasUsed,swaps_gasPrice,swaps_protocol_id,swaps_account_id,swaps_pool_id,swaps_blockNumber,swaps_timestamp,swaps_tick,swaps_tokenIn_id,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_amountOut,swaps_amountOutUSD,endpoint
0x4b668a615db636da87f715f279c2fd56d3bd3643c2deaecbf5d572570384b58427000000,0x4b668a615db636da87f715f279c2fd56d3bd3643c2deaecbf5d572570384b584,2604,39,380181,,124693153694,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe1023dda0436069e5a659172b85476f05731a605,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119245,1643706408,196959,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,370100645161288637899,1038644.7098324934,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1033678218758,1033678.218758,uniswap-v3-ethereum
0x77adfe98810fad403411147cbcfb8002fefac298852ce96d5e2c4fdf9f0747682a000000,0x77adfe98810fad403411147cbcfb8002fefac298852ce96d5e2c4fdf9f074768,114,42,10000000,,137173794924,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x757d2334731460d2181b6c64914ab4acfc22f31a,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119258,1643706573,196957,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,89415908129,89415.908129,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,31880549500568673889,89133.69292228772,uniswap-v3-ethereum
0xe43baafe741c0be50cc51457b4daaa6f9f566a575caea368119db1bddf964b4771000000,0xe43baafe741c0be50cc51457b4daaa6f9f566a575caea368119db1bddf964b47,898,113,185184,,80484581891,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe50cc6b2c9524070179586b2c976a66bd8c49186,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119280,1643706877,196958,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3000000000000000000,8390.222076244794,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8364930200,8364.9302,uniswap-v3-ethereum
0x1d643ed93462bdba7d02f9eb60d2a944b4439b1de60e2e38148fc58903ecf1cb53020000,0x1d643ed93462bdba7d02f9eb60d2a944b4439b1de60e2e38148fc58903ecf1cb,2,595,174432,,77708837398,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7e4e4cce038052f082b3c7798898e774fb5d54c7,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119285,1643706925,196958,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10000000000000000,27.966596430539607,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,27882619,27.882619,uniswap-v3-ethereum
0x6e488465e8b398ec671e61fede16471e3822ef45b18368461352f7e484f30d0341000000,0x6e488465e8b398ec671e61fede16471e3822ef45b18368461352f7e484f30d03,25645,65,876657,,84462430086,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe92f359e6f05564849afa933ce8f62b8007a1d5d,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119285,1643706925,196958,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,279867859802983925,782.6951488988889,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,780346008,780.346008,uniswap-v3-ethereum
0x256b5482ab9eecdfd90ff7d5bc5bcfb7dc18ebe0a0767831f53e5e0518a0a3995e000000,0x256b5482ab9eecdfd90ff7d5bc5bcfb7dc18ebe0a0767831f53e5e0518a0a399,245,94,195628,,99091266553,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x76b3c0937cd2c96f281932e78815920ce19e108c,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119288,1643707030,196959,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3500000000000000000,9788.281342249255,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9757737279,9757.737279,uniswap-v3-ethereum
0x81fd2b2d52281b2da80be592abf6cd768b4348fde2f6e4e43e105e24c2f4364317000000,0x81fd2b2d52281b2da80be592abf6cd768b4348fde2f6e4e43e105e24c2f43643,851,23,199183,,99682011779,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xf237e353372a67d823931531f09db68783a5f4d7,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119288,1643707030,196959,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10759950341309456812,30091.83461981939,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,30000000000,30000.0,uniswap-v3-ethereum
0x05ba114eb82f6e7fbf9eaff798c457a4dfdb938deb289df165440c73e7625caf09000000,0x05ba114eb82f6e7fbf9eaff798c457a4dfdb938deb289df165440c73e7625caf,7443,9,1200000,,100785937374,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x60b86af869f23aeb552fb7f3cabd11b829f6ab2f,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119290,1643707078,196979,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,200493163901872298533,560632.3397834759,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,558409726381,558409.726381,uniswap-v3-ethereum
0xb41013ef56000bb69813b177913895a03e0be42615586b3f7796c4fe4909554c64000000,0xb41013ef56000bb69813b177913895a03e0be42615586b3f7796c4fe4909554c,246,100,286015,,102336937375,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x76b3c0937cd2c96f281932e78815920ce19e108c,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119290,1643707078,196979,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3661954270074773207,10239.800453330761,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10189158493,10189.158493,uniswap-v3-ethereum
0x2cc7646fa4692c219023610848f4dd373b99dc581dc79524b46c3f1f45bcf1584c020000,0x2cc7646fa4692c219023610848f4dd373b99dc581dc79524b46c3f1f45bcf158,9093,588,1200000,,106439476194,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9aab3f81604c683a1a0d14019fbfe15bef7aa1ee,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119295,1643707142,196992,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,134886224357267755186,376435.14867424563,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,375061317503,375061.317503,uniswap-v3-ethereum
