block_time,buy_token,sell_token,units_bought,units_sold,trade_value_usd,price
2022-10-14T14:34:59+00:00,USDC,WETH,9.18199,0.006956766589441,9.18691154664,1319.864606919032
2022-10-14T14:34:59+00:00,WETH,USDC,0.006956766589441,9.181998,9.186919550928,0.000757652810362298
2022-10-14T14:34:59+00:00,USDC,WETH,0.001,7.576534855e-07,0.001000536,1319.8645807589307
2022-10-14T14:33:59+00:00,USDC,WETH,2.285399,0.0017382916252546,2.28969511170162,1314.7385437499693
2022-10-14T14:33:59+00:00,USDC,WETH,1.358968,0.0010336413213373,1.36152268487877,1314.7384609603264
2022-10-14T14:33:59+00:00,USDC,WETH,11.740839,0.0089301717044024,11.7629114707559,1314.7383262756298
2022-10-14T14:33:59+00:00,USDC,WETH,7.544352,0.0057382916252546,7.55853511170162,1314.7383389852146
2022-10-14T14:32:47+00:00,USDC,WETH,10.227231,0.0077811803406099,10.2494485564548,1314.3547061393997
2022-10-14T14:31:35+00:00,USDC,WETH,7.746053,0.0058757886235051,7.750204884408,1318.300145960531
2022-10-14T14:30:23+00:00,USDC,WETH,61.268665,0.0464234466114204,61.254144326395,1319.7784626557134
2022-10-14T14:29:47+00:00,WETH,USDC,0.0193465105144468,25.46031,25.45427590653,0.000759869401214942
2022-10-14T14:28:47+00:00,USDC,WETH,3.457004,0.0025973319461583,3.456184690052,1330.9827437009876
2022-10-14T14:26:35+00:00,USDC,WETH,1.138371,0.0008551473552352,1.138101206073,1331.1986443399596
2022-10-14T14:26:35+00:00,USDC,WETH,1.196132,0.0008985374218795,1.195848516716,1331.1988692669156
2022-10-14T14:21:35+00:00,USDC,WETH,2.035506,0.00153743456624,2.0397144390307,1323.9626873864945
2022-10-14T14:21:35+00:00,USDC,WETH,1.213364,0.0009164632161216,1.21587174882853,1323.9636666868757
2022-10-14T14:20:23+00:00,USDC,WETH,2.033048,0.0015355195021894,2.03717372355475,1324.013141546692
2022-10-14T14:20:23+00:00,USDC,WETH,1.724451,0.0013024419171979,1.72794969154652,1324.013744666648
2022-10-14T14:18:23+00:00,WETH,USDC,4.0241102062796e-05,0.052278,0.0533878701067115,0.0007697521340295345
2022-10-14T14:17:35+00:00,WETH,USDC,0.0059339006664423,7.752465,7.87250601416905,0.0007654211488142546
2022-10-14T14:16:35+00:00,USDC,WETH,1.0,0.0007551821269377,1.00190012780827,1324.1838813837508
2022-10-14T14:16:35+00:00,USDC,WETH,0.379747,0.000286777391976,0.380467565934679,1324.1873684093637
2022-10-14T14:15:59+00:00,USDC,WETH,3.270045,0.0024695411012624,3.27703165055325,1324.1508709162167
2022-10-14T14:15:59+00:00,USDC,WETH,1.061164,0.0008013913960724,1.06343035476026,1324.1519751780957
2022-10-14T14:15:11+00:00,USDC,WETH,0.002,1.503058670774e-06,0.00200144,1330.6200475661408
2022-10-14T14:15:11+00:00,USDC,WETH,0.001,7.51529335387e-07,0.00100072,1330.6200475661408
2022-10-14T14:14:23+00:00,USDC,WETH,5.313574,0.004012392062965,5.32436401971341,1324.2908261745185
2022-10-14T14:14:23+00:00,USDC,WETH,1.0,0.0007551211731019,1.00203069428281,1324.2907703040328
2022-10-14T14:14:23+00:00,WETH,USDC,0.0002,0.264858,0.265396,0.0007551216123356667
2022-10-14T14:13:23+00:00,USDC,WETH,3.44597,0.0025890431868263,3.4484510984,1330.9820467785003
2022-10-14T14:12:35+00:00,USDC,WETH,0.904287,0.0006819423857383,0.90493808664,1326.0460398292742
2022-10-14T14:12:35+00:00,USDC,WETH,0.561233,0.00042323757211,0.56163708776,1326.0472060692541
2022-10-14T14:12:35+00:00,USDC,WETH,9.835598,0.0074172400801831,9.84267963056,1326.0455228189405
2022-10-14T14:10:35+00:00,WETH,USDC,0.007202883782901,9.586369,9.596032059952,0.0007513672572901169
2022-10-14T14:10:35+00:00,USDC,WETH,9.586361,0.007202883782901,9.596024051888,1330.9059661294496
2022-10-14T14:05:59+00:00,USDC,WETH,9.866282,0.0074507494944375,9.91165754495536,1324.199935505262
2022-10-14T14:05:59+00:00,USDC,WETH,15.885752,0.0119964904337048,15.9588112590532,1324.1999472919267
2022-10-14T14:05:23+00:00,USDC,WETH,2.083272,0.0015721584683599,2.09142668887449,1325.1030617627887
2022-10-14T14:05:23+00:00,USDC,WETH,0.559404,0.0004221584683598,0.561593188874486,1325.104295961268
2022-10-14T14:00:59+00:00,WETH,USDC,0.0088958453303725,11.837647,11.846513397603,0.0007514876335113303
2022-10-14T14:00:59+00:00,USDC,WETH,11.837637,0.0088958453303725,11.846503390113,1330.6927627870884
2022-10-14T13:59:59+00:00,USDC,WETH,43.179218,0.0325058198409466,43.2541942295541,1328.3534521288534
2022-10-14T13:57:35+00:00,USDC,WETH,3.63406,0.0027274170893223,3.63678191094,1332.4181381084545
2022-10-14T13:57:35+00:00,USDC,WETH,4.966479,0.0037274170893223,4.970198892771,1332.418369338694
2022-10-14T13:56:59+00:00,USDC,WETH,5.329673,0.004,5.333664925077,1332.41825
2022-10-14T13:56:11+00:00,USDC,WETH,0.363469,0.0002737339181513,0.364246775527318,1327.818643939846
2022-10-14T13:56:11+00:00,USDC,WETH,2.655637,0.002,2.66132,1327.8185
2022-10-14T13:56:11+00:00,USDC,WETH,3.683015,0.0027737339181513,3.69089677552732,1327.8184240739063
2022-10-14T13:56:11+00:00,USDC,WETH,24.113231,0.0181600400165624,24.164838848439,1327.8181643877515
2022-10-14T13:56:11+00:00,USDC,WETH,66.943684,0.0504163034591518,67.0869583609549,1327.8181740206119
2022-10-14T13:56:11+00:00,WETH,USDC,0.0065292441656266,8.669649,8.68820404143271,0.0007531151682872744
2022-10-14T13:55:23+00:00,USDC,WETH,336.905855,0.253610249234301,338.681271237455,1328.4394302564062
2022-10-14T13:54:35+00:00,USDC,WETH,0.553806,0.0004158445952589,0.555335506292607,1331.7619281674367
2022-10-14T13:53:35+00:00,USDC,WETH,0.34943,0.0002623784127904,0.350390627576881,1331.7787705314797
2022-10-14T13:52:23+00:00,USDC,WETH,17.500056,0.0131728426897339,17.5915410415782,1328.4950266382868
2022-10-14T13:52:23+00:00,USDC,WETH,1.942763,0.0014623784127904,1.95291862757688,1328.4954037942657
2022-10-14T13:52:23+00:00,USDC,WETH,0.386073,0.0002906092095868,0.388091162850674,1328.4954064220274
2022-10-14T13:50:35+00:00,USDC,WETH,0.1,7.504930720062e-05,0.100219343849564,1332.4573367837017
2022-10-14T13:49:35+00:00,USDC,WETH,9.883607,0.0074176138002839,9.90533311662317,1332.451010002936
2022-10-14T13:48:59+00:00,USDC,WETH,11.658762,0.0087498562927164,11.6843830961677,1332.4518266322893
2022-10-14T13:47:59+00:00,USDC,WETH,11.038746,0.0082845421512109,11.063011897884,1332.45094279429
2022-10-14T13:47:59+00:00,USDC,WETH,1.844835,0.0013845421512109,1.84888989788405,1332.4513077384713
2022-10-14T13:46:23+00:00,USDC,WETH,2.0,0.0015006028203361,2.00387499422049,1332.7977082916896
2022-10-14T13:43:35+00:00,USDC,WETH,1.333267,0.001,1.333332330083,1333.267
2022-10-14T13:42:59+00:00,USDC,WETH,0.672446,0.000505,0.6726297,1331.5762376237624
2022-10-14T13:41:59+00:00,USDC,WETH,2.4377,0.0018290105039094,2.4378194473,1332.7971571456603
2022-10-14T13:40:35+00:00,USDC,WETH,2.286318,0.0017104568822165,2.29129383027969,1336.6709349827452
2022-10-14T13:39:35+00:00,USDC,WETH,3.347062,0.0025113061107847,3.364095439885,1332.797298436133
2022-10-14T13:38:47+00:00,USDC,WETH,3.662198,0.002747753851708,3.680836104671,1332.7969671386622
2022-10-14T13:37:35+00:00,USDC,WETH,0.856726,0.0006431221081224,0.8615135135987,1332.1358248765825
2022-10-14T13:37:35+00:00,USDC,WETH,11.989213,0.009,12.05622,1332.1347777777778
2022-10-14T13:37:35+00:00,USDC,WETH,25.310561,0.019,25.45202,1332.1347894736844
2022-10-14T13:37:35+00:00,USDC,WETH,129.760507,0.0974079423189267,130.485731371588,1332.1347716713556
2022-10-14T13:36:47+00:00,USDC,WETH,0.417719,0.0003129380568208,0.419205562156063,1334.8296600410013
2022-10-14T13:35:47+00:00,USDC,WETH,0.002,1.500959775165e-06,0.0020101603788897,1332.4807453818278
2022-10-14T13:34:59+00:00,USDC,WETH,6.027187,0.0045194534176579,6.05267798959842,1333.6097184786222
2022-10-14T13:34:59+00:00,USDC,WETH,12.328612,0.0092445436473282,12.3807550796844,1333.6095831580758
2022-10-14T13:34:23+00:00,USDC,WETH,0.258888,0.000193947452032,0.259744125133982,1334.8357881870254
2022-10-14T13:33:47+00:00,USDC,WETH,4.078683,0.0030661796532954,4.10638110067594,1330.2165760627902
2022-10-14T13:33:47+00:00,USDC,WETH,4.275804,0.0032143667389545,4.30484065514482,1330.2166016659135
2022-10-14T13:32:47+00:00,USDC,WETH,0.686048,0.0005139597255814,0.688320562485016,1334.8283257485414
2022-10-14T13:32:47+00:00,USDC,WETH,0.23888,0.0001789589476139,0.239670770592027,1334.8312737923468
2022-10-14T13:32:47+00:00,USDC,WETH,0.02,1.4983215237356e-05,0.020066271006629,1334.8269836060424
2022-10-14T13:32:47+00:00,USDC,WETH,1.887259,0.0014138597255814,1.89351163748502,1334.8276111506968
2022-10-14T13:31:59+00:00,USDC,WETH,1.235787,0.0009248444083182,1.23859787384026,1336.2107062389437
2022-10-14T13:31:23+00:00,USDC,WETH,6.302556,0.0047454455402408,6.35533793976752,1328.127347907608
2022-10-14T13:29:11+00:00,USDC,WETH,0.729012,0.0005455968058575,0.729231432612,1336.1735115993417
2022-10-14T13:29:11+00:00,USDC,WETH,0.803749,0.0006015303874968,0.803990928449,1336.1735611474421
2022-10-14T13:28:35+00:00,USDC,WETH,1.324637,0.0009926057831224,1.32616103048287,1334.5046165589958
2022-10-14T13:27:59+00:00,USDC,WETH,2.200316,0.001648390713329,2.20231592863616,1334.826738714368
2022-10-14T13:26:11+00:00,USDC,WETH,12.527808,0.0093848706127126,12.5385625334086,1334.8940562941834
